id	event	name	photo	organization	position	sessions
rp14-speaker-1971	rp14	Ron Deibert	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/deibert-eekhoff.jpg	Citizen Lab	Director	
rp14-speaker-1972	rp14	Alexa Clay	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/alexa_clay.jpeg			
rp14-speaker-1973	rp14	Daniel Bode	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/bild_republica.jpg			
rp14-speaker-1978	rp14	Olga Rasulova	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/olga_rasulova_0.jpg	Philips	Head of digital marketing, CL 	
rp14-speaker-1979	rp14	Anatol Stefanowitsch	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/anatol_stefanowitsch.jpg	Freie Universität Berlin	Professor	
rp14-speaker-1980	rp14	Julian Möller	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/temp-julian.jpg	Oskar-von-Miller Schule	Schüler	
rp14-speaker-1981	rp14	Matthias Huhn	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/mhuhn.jpg	Oskar-von-Miller-Schule Kassel	Lehrer	
rp14-speaker-1982	rp14	Jarosław Lipszyc	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/800px-wikimedia_polska_conference_2009_mk_29.jpg	Modern Poland Foundation	CEO	
rp14-speaker-1983	rp14	Aram Bartholl	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/aram-dropping-internet-section.jpg	Artist	independet	
rp14-speaker-1984	rp14	Fachhochschule Potsdam 	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/rp14_profilbild.png	Fachhochschule Potsdam		
rp14-speaker-1985	rp14	Guido Kopp	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/kopp-foto-klein.jpg	Psychotherapeutische Praxis	Kommunikationswissenschaftler	
rp14-speaker-1986	rp14	Andrei Soldatov	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/andrei_soldatov.jpg	Agentura.Ru	editor	
rp14-speaker-1999	rp14	Vanessa Carmicino	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/me1.png	Hagakure	Social Media Manager and Account Supervisor	
rp14-speaker-2000	rp14	Glyn  Moody 	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/461px-glyn_moody_1_cropped.jpg		journalist & blogger	
rp14-speaker-2004	rp14	Gesche Joost	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/udk_01k.jpg	UdK Berlin – Design Research Lab	Professorin	
rp14-speaker-2016	rp14	Hannah Fry	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/hannah_fry_kopie.jpg			
rp14-speaker-2019	rp14	Markus Schaffrin	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/ms_eco_neu_2011.jpg	eco e.V.	Geschäftsbereichsleiter Mitglieder Services	
rp14-speaker-2020	rp14	Carla Kirmis	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/img_0137_800x640.jpg	ProChile - Start-Up Chile	Wirtschaftsberaterin	
rp14-speaker-2021	rp14	Christian Heise	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/ch-sw_rep.jpg	Open Knowledge Foundation DE e.V.	Member of Board	
rp14-speaker-2024	rp14	Gabriela Agustini	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/captura_de_tela_2014-04-04_as_19.44.32.png	Templo Coworking	Partner 	
rp14-speaker-2025	rp14	Jovani Ntabgoba	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/klab_main_logo.png	kLab	General Manager	
rp14-speaker-2030	rp14	Yann LE BEUX	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/logo_ctic_hd_0.jpg	CTIC Dakar	Catalyst	
rp14-speaker-2031	rp14	Marcello Bonventre	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/marcello-bonventre.jpg	Radio Bremen	Redaktionsleiter Digitale Garage	
rp14-speaker-2032	rp14	Sophie Lamprou	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/sophie.jpg	Impact Hub Athens	Co-founder	
rp14-speaker-2033	rp14	Jay Fajardo	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/copy_of_sam5127.jpg	Launchgarage	Program Director	
rp14-speaker-2035	rp14	Anirudh Narla	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/profile_pic_0.jpg	MEST Incubator	Director of Operations	
rp14-speaker-2036	rp14	Alexander Mankowsky	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/13c399_012x.jpg	Daimler AG	Zukunftsforschung	
rp14-speaker-2037	rp14	Gregor Martynus	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/1376386_10201454432815707_826226227_n.jpg	AfricaHackTrip	Initiator	
rp14-speaker-2045	rp14	Markus Hündgen	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/290700_2303656983839_1936452545_o.jpg	European Web Video Academy GmbH	CEO	
rp14-speaker-2046	rp14	Markos Lemma	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/lemmamarkos.jpg	iceaddis	co-founder 	
rp14-speaker-2063	rp14	Jörg Dörnemann	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/joerg-doernemann.jpg	epubli	Geschäftsführer	
rp14-speaker-207	rp14	Tom Hillenbrand	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/trenchmann_kopie.jpg		Writer	
rp14-speaker-2079	rp14	Dr. Thomas Fricke	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/thomas-rp14.jpg	Endocode AG	Principal DevOps Wizard	
rp14-speaker-2089	rp14	Mirko Boehm	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/mirko-rp14.jpg	Endocode AG	Founding partner | CEO 	
rp14-speaker-2091	rp14	Ratozamanana Andriankoto Harinjaka	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/540757_10152066432824259_320238671_n.jpg	HABAKA Madagascar Innovation hub	CEO	
rp14-speaker-2099	rp14	Juliane Leopold	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/profil_leopold.png	ZEIT ONLINE	Social Media-Redakteurin	
rp14-speaker-2115	rp14	Elizaveta Barsegova	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/521875_501281516598329_947043866_n-2.jpg	betahaus | Berlin	Program Manager                             betahaus.com	
rp14-speaker-2128	rp14	Moushira Elamrawy	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/moushirabysagerepub.jpg		Designer and Technology Consultant	
rp14-speaker-2129	rp14	Stefania Druga	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/10155323_10202993306685935_3835252248019906839_n.jpg	HacKIDemia	Founder	
rp14-speaker-2130	rp14	Victor Nyang'a	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/vic1_compr2.png	Victronix Co. Ltd	CEO	
rp14-speaker-2131	rp14	Wilhelm Oddo	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/img_20131023_171747.jpg	Bribed	CO-Founder	
rp14-speaker-2132	rp14	Fua Tse	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/fua.jpg	ActivSpaces 	Co-Founder	
rp14-speaker-2135	rp14	Tiemo Ehmke	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/tiemo_ehmke_querformat_72dpi.jpg	icebauhaus	board member	
rp14-speaker-2146	rp14	Mazen Helmy	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/zdjcetmt.jpeg	The District	Managing Director	
rp14-speaker-2149	rp14	Sebastian  Basedow	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/sebastian_basedow.png	Zebralog GmbH &amp; Co. KG	Projekteiter und Berater 	
rp14-speaker-2151	rp14	Frederic Tape	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/1801359_10101627581825026_1403389113_o.jpg	AMN Coworking Space	Founder/Principal 	
rp14-speaker-2155	rp14	Andreas Wichmann	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/andreas-rp14.jpg	Endocode AG	Founding partner | Relations Manager	
rp14-speaker-2166	rp14	Tolu Agunbiade	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/dsc_06232_0.jpg	Co-creation Hub Nigeria	Community Manager	
rp14-speaker-2168	rp14	Clarisse Iribagiza	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/3b.jpg	HeHe Limited	CEO	
rp14-speaker-2169	rp14	John Matogo	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/jm_1.jpg	iBizAfrica		
rp14-speaker-2172	rp14	Ahmed Bastawy	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/selsela.jpg	icealex	cofounder	
rp14-speaker-2173	rp14	Richard Zulu	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/zulu.jpg	Outbox	Lead	
rp14-speaker-2174	rp14	Bilal Ghalib	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/bilalhead.jpg	GEMSI	Catalyst 	
rp14-speaker-2175	rp14	Francis Chiwunda	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/2013-02-24_14.04.43.jpg	Funeral.ly	Co-Founder & Business Developer	
rp14-speaker-2176	rp14	Claudia Valladares	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/5661798398_b48b395715_b.jpg	Impact Hub Caracas	Co-founder & Director	
rp14-speaker-2178	rp14	Andrea Goetzke	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/andrea_portrait_musicpool.jpg	Music Pool Berlin		
rp14-speaker-2179	rp14	Eric Eitel	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/eric_eitel_total_low.jpg	Music Pool Berlin	Co-Founder	
rp14-speaker-2189	rp14	Katina Sostmann	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/portrait_small_katina_sostmann-720.jpg	IXDS	Design Lead	
rp14-speaker-2193	rp14	Rene Parker	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/rene_picapril14_0.jpg	RLabs - Reconstructed Living Lab	Director	
rp14-speaker-2195	rp14	Andre Meister	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/andre.jpg	netzpolitik.org		
rp14-speaker-2197	rp14	Richard Gutjahr	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/image_9.jpg	G! blog	Journalist und Blogger	
rp14-speaker-220	rp14	Julia Kloiber	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/julia_kloiber.jpg	Open Knowledge Foundation DE	Project Lead	
rp14-speaker-2203	rp14	Jeanette Hofmann	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/jeanette-hofmann1.jpg	WZB/HIIG		
rp14-speaker-2204	rp14	Mikko Hypponen	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/mikko_hypponen.jpg	F-Secure	Chief Research Officer	
rp14-speaker-2205	rp14	Kristian  Müller	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/mueller_kristian.jpg	mixd.tv	Managing Director	
rp14-speaker-2206	rp14	Dr. Roger Fischer	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/foto_klein.jpg	BMZ	Referatsleiter	
rp14-speaker-2207	rp14	David Knight	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/dave_knight_bio_pic2.jpg	Silicon Allee	Editor-in-Choef	
rp14-speaker-2208	rp14	Petros  Theocharous	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/theocharous_petros_2_72dpi.jpg	mixd.tv		
rp14-speaker-2209	rp14	Claudia Seifert	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/claudia_seifert_ifkbroschuere_2.jpg	Institut für KoWi	Wissenschaftliche Mitarbeiterin	
rp14-speaker-2210	rp14	Bruno Kramm	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/bruno_kramm_lavo_by_polgf.jpg	Piratenpartei	Beauftragter UrhR	
rp14-speaker-2212	rp14	Il-Jin Atem Choi	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/il-jin_atem_choi_zwickau_2013_72dpi.jpg	atemmeta.de	Artist | Graffitist	
rp14-speaker-2214	rp14	Friederike  Behrends	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/friederike_behrends_fuer_rp.jpg	Magine	Deutschland Managerin 	
rp14-speaker-2216	rp14	Alyona Asyamova	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/alyona.jpg	Impact Hub GmbH	Global Impact Coordinator 	
rp14-speaker-2217	rp14	Ferda Ataman	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/t.lobenwein_ferda_ataman-10.jpg	Mediendienst Integration	Leiterin	
rp14-speaker-2219	rp14	Johnny Haeusler	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/johnny_haeusler_bw.jpg	Spreeblick	Master of ceremony	
rp14-speaker-2220	rp14	Reem Almasri	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/679829_10152235472355484_294656010_o.jpg	7iber Dot Com	Internet Research Lead	
rp14-speaker-2221	rp14	Nani Jansen	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/photo_medium.jpeg	Media Legal Defence Initiative	Senior Legal Counsel	
rp14-speaker-2226	rp14	Jan Arpe	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/3933031897_9f7e99a285_b.jpg	Bertelsmann Stiftung	Project Manager	
rp14-speaker-2230	rp14	Faruq Hunter	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/head-shoulder-faruq.jpg	Geeks Gone Global	Chief Geek In Charge	
rp14-speaker-2231	rp14	Delia Browne	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/photo_delia_3.jpg	P2PU / National Copyright Unit	Co-Founder / Director	
rp14-speaker-2232	rp14	Fabian-Carlos Guhl	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/fabian_guhl.png	FounderBus Africa	CEO FounderBus Africa	
rp14-speaker-2234	rp14	Stephen LaPorte	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/me-computer.jpg	Hatnote	Contributor	
rp14-speaker-2237	rp14	Friedrich Kitschelt	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/297014_1.jpg	BMZ	Staatssekretär	
rp14-speaker-2242	rp14	Sönke Bartling	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/5611_106792676876_5668657_n_0.jpg	dkfz		
rp14-speaker-2243	rp14	Sina Kamala	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/sk_bild_0.png			
rp14-speaker-2244	rp14	Michaela Lampert	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/michaela.jpg			
rp14-speaker-2245	rp14	Jöran Muuß-Merholz	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/joeran_muuss-merholz_quelle_selfie_iste.jpg	Agentur J&amp;K – Jöran und Konsorten	Jöran	
rp14-speaker-2247	rp14	Tom Burck	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/tom.jpg	Gameforge AG	Vice President Customer Communication	
rp14-speaker-2259	rp14	Paula Gutierrez	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/image_11.jpg	Impact Hub Bogota	Managing Director	
rp14-speaker-2266	rp14	Tariq Khokhar	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/tk_profile_color_hires.jpg	World Bank	Data Scientist	
rp14-speaker-2267	rp14	Julia Manske	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/dsc_0145-julia.jpg	Vodafone Institute 		
rp14-speaker-2268	rp14	Elton Rivas	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/elton_talking.png	One Spark	Co-Founder	
